Epoch,Epsilon,Delta
1,0.83443374,2.9617678395264353e-07
2,1.1854809800000001,5.911665443557419e-07
3,1.4569992200000002,8.860183390255053e-07
4,1.6873502200000001,1.1808693422278588e-06
5,1.8913930799999998,1.4756544073084092e-06
6,2.07674846,1.7704164195519825e-06
7,2.24794338,2.065151570662388e-06
8,2.4079274400000004,2.3598870338372873e-06
9,2.55874943,2.6545943616089317e-06
10,2.70190109,2.9492734857419315e-06
11,2.83850853,3.243952573120954e-06
12,2.96944666,3.53863161815516e-06
13,3.09541122,3.833282436525964e-06
14,3.2169663099999997,4.127933211154268e-06
15,3.3345768600000003,4.422583942846262e-06
16,3.4486314,4.717206446792537e-06
17,3.5594586,5.011857091341825e-06
18,3.66733939,5.30647950858228e-06
19,3.77251618,5.601101882413159e-06
20,3.87519987,5.895696028934699e-06
